"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"ABI1",10006,"530391913; 530391915; 296010993; 296010999; 1127352042; 767959595; 296010995; 296010997; 1127352020; 61743944; 1127352022; 296010983; 296011001; 1127352010; 296010990; 296011003; 61743946; 61743948; 1127352036; 61743942; 1034565881; 1127352006","XP_005252390; NP_001171592; NP_001171593; NP_001334962; NP_001334963; XP_005252389; XP_011517591; NP_001171590; XP_016870948; NP_001171591; NP_001171594; NP_001334958; NP_001334961; NP_001012769; NP_001171587; NP_001012768; NP_001012770; NP_001171595; NP_001334959; NP_005461; NP_001171596; NP_001334960","B6VEX3; A0A0A0MRT6; Q9NXZ9; O15147; Q8IZP0; Q5T2R7; Q5W070; Q5W072; Q5T2R6; Q8TB63; Q96S81; B4DQ58; Q5T2R3; A9Z1Y6; O95060; B6VEX4; F5H1G9; Q9NYB8; B3KX62; H7BXI6; B6VEX5; Q5T2R9; O76049; Q5T2R4"
"ABI2",10152,"578803461; 1034610940; 1034610948; 1034610971; 1034610985; 578803451; 767916305; 1034610967; 1034610973; 544710326; 530369659; 530369661; 1034610938; 1034610975; 1034610981; 544709696; 1034610920; 1034610927; 1034610944; 1034610962; 544710564; 544709647; 530369643; 578803455; 578803459; 578803469; 1034610922; 1034610932; 1034610935; 1034610977; 1034610991; 109689723; 767916308; 1034610924; 1034610956; 1034610969; 578803457; 1034610942; 1034610950; 1034610953; 1034610983; 530369645; 530369651; 578803445; 578803467; 1034610946; 1034610965; 1034610979; 1034610989; 1370476509","XP_006712248; XP_016858613; XP_016858625; XP_016858632; NP_001269855; NP_001269856; XP_005246278; XP_016858609; XP_016858618; XP_016858631; XP_016858634; XP_016858610; XP_016858619; XP_016858633; XP_005246275; XP_005246282; XP_005246283; XP_006712242; XP_006712243; XP_006712249; XP_011508775; XP_016858608; XP_016858614; XP_016858621; XP_016858622; XP_016858627; XP_016858629; XP_005246274; XP_016858607; XP_016858623; NP_005750; XP_011508774; XP_016858615; XP_016858620; XP_016858628; XP_016858635; XP_024308279; NP_001269861; XP_006712240; XP_016858612; XP_016858616; XP_016858617; XP_016858626; NP_001269854; XP_006712237; XP_006712244; XP_006712245; XP_016858611; XP_016858624; XP_016858630","Q13147; A0A0C4DG21; Q9NYB9; B7Z836; J3KNB2; Q9BV70; Q13249; F8WAL6; B4DSN1; Q13801; E9PEZ7"
"ABI3",51225,"530412354; 206597502; 767994947; 1034600007; 1519315930","XP_016880210; NP_057512; NP_001128658; XP_005257486; XP_011523175","Q9H0P6; Q9P2A4; C9IZN8"
"ABI3BP",25890,"530374276; 767926297; 767926314; 1034632397; 1475409220; 530374262; 530374298; 530374318; 767926271; 530374266; 530374280; 530374288; 530374300; 530374310; 767926274; 767926283; 767926285; 767926321; 1475409086; 530374312; 578807234; 578807236; 767926291; 767926330; 1154885105; 530374264; 530374286; 530374296; 767926267; 767926281; 767926294; 767926323; 1034632402; 1370483724; 1154885288; 530374282; 530374302; 530374304; 530374306; 767926287; 767926316; 1034632399; 33667044; 530374270; 530374274; 530374290; 578807238; 578807240; 1370483751; 1154885207; 1154885251; 530374268; 530374278; 530374292; 767926306","XP_005247348; XP_005247363; XP_006713635; XP_011510950; XP_005247340; XP_011510946; XP_011510948; XP_011510958; XP_011510959; XP_024309213; XP_005247338; XP_005247346; XP_005247353; XP_005247357; NP_001336258; XP_005247339; XP_005247344; XP_005247351; XP_011510951; XP_016861595; XP_024309212; XP_005247342; XP_005247345; XP_011510945; XP_011510955; NP_001352572; XP_005247341; XP_005247350; XP_005247360; XP_011510943; XP_011510949; NP_001336260; NP_001336261; XP_005247358; XP_005247359; XP_005247366; XP_006713634; XP_011510942; XP_011510956; XP_011510962; XP_016861596; NP_056244; XP_005247347; XP_005247352; XP_005247355; XP_005247356; XP_005247362; XP_006713632; XP_006713633; XP_011510941; XP_011510947; XP_011510953; XP_016861594; NP_001336259; NP_001352571","Q6ZW22; Q9UFI6; Q9C082; Q6ZW20; D3YTG3; B3KSL4; Q7Z7G0"
"ABITRAM",54942,"767957775; 8923431","XP_011517118; NP_060302","Q9NX38; X6R8U7; Q5JTR0; Q5JTR1"
"ABL1",25,"62362412; 62362414","NP_005148; NP_009297","Q13869; Q13870; Q59FK4; Q45F09; P00519; Q17R61; A0A024R8E2; A3KFJ3; Q16133"
"ABL2",27,"1034557736; 209862772; 6382062; 269847776; 269847786; 209862778; 269847781; 269847768; 530364562; 269847793; ","NP_001161709; NP_009298; NP_001129472; NP_001129473; NP_001161710; NP_001161711; XP_005245145; XP_016856524; NP_001161708; NP_005149","Q7Z301; P42684; B7UEF5; Q5W0C5; A0M8X0; B7UEF2; Q5T0X6; B7UEF3; Q6NZY6; B7UEF4"
"ABLIM1",3983,"1370457143; 1206271580; 530393680; 1034568245; 1034568249; 1370457131; 1370457137; 1370457141; 1018191582; 1018191568; 1018191528; 1018191545; 51173717; 578819430; 1034568255; 1034568276; 1370457121; 51173713; 1018191619; 51173711; 578819448; 578819451; 1370457114; 1370457129; 1370457139; 1018191591; 1018191595; 1018191468; 530393682; 767962894; 1370457118; 1370457127; 1018191487; 1206271497; 1034568251; 1370457125; 1370457133; 1018191533; 1018191570; 1018191613; 1018191499; 1018191537; 1370457116; 1370457123; 1034568267; 1018191601; 1018191458; 1018191554; 1018191576; 1018191585; 1206271569; 1034568265; 1370457135; 1206271562","XP_005269884; XP_016871734; XP_024303779; XP_024303782; XP_024303786; XP_024303790; NP_001309811; NP_001309813; NP_001309820; NP_002304; XP_016871748; NP_001339370; NP_001339371; XP_006717909; XP_006717910; XP_011538104; XP_011538107; XP_024303780; XP_024303785; XP_024303787; NP_001309824; NP_001309827; NP_001339369; NP_006711; XP_006717900; XP_016871736; XP_024303783; NP_001003407; NP_001309822; NP_001309823; NP_001309826; XP_005269883; XP_016871739; XP_024303784; NP_001309812; NP_001309814; NP_001309819; NP_001309821; NP_001309825; XP_011538103; XP_024303781; XP_024303788; NP_001309816; NP_001309817; NP_001309818; XP_016871737; XP_016871744; XP_024303789; NP_001309815; NP_001339372; XP_016871745; XP_024303778; NP_001309828; NP_001309829","Q68CQ9; A8MXA9; B3KVH2; Q5JVV2; Q5JVV1; Q5T6N2; B4DQA3; Q5T6N3; B3KSG3; O14639; A6NI16; Q5T6N5; Q15039; Q9BUP1; A6NJ06"
"ABLIM2",84448,"530376197; 578808269; 1034641450; 1034641471; 1034641473; 1034641479; 1034641481; 1034641484; 1034641504; 530376165; 530376177; 530376181; 578808287; 1034641448; 1034641477; 1034641486; 1034641489; 1034641495; 1034641500; 557878671; 530376173; 530376193; 578808271; 194272200; 194272204; 767929442; 194272198; 153792514; 530376171; 530376199; 578808276; 1034641468; 1034641475; 1034641491; 1034641502; 194272196; 194272202; 194272207; 530376185; 530376191; 1034641457; 530376195; 1034641455; 530376175; 530376179; 530376183; 1034641442; 1034641463; 1370487733","XP_005248075; XP_006713987; XP_016864206; XP_016864209; XP_016864210; NP_001123555; XP_005248080; XP_005248081; XP_005248088; XP_016864205; XP_016864212; NP_001123557; XP_005248074; XP_005248077; XP_005248087; XP_016864203; XP_016864216; NP_115808; XP_005248084; XP_005248085; XP_006713986; XP_016864204; XP_016864208; XP_016864213; NP_001123559; NP_001123560; XP_005248071; XP_005248076; XP_005248086; XP_006713990; XP_016864195; XP_016864196; XP_016864198; XP_016864200; XP_016864202; XP_016864207; XP_016864214; XP_005248078; XP_005248079; XP_011511888; XP_016864197; XP_024310024; NP_001123558; XP_006713988; XP_016864199; XP_016864211; XP_016864215; NP_001123556; NP_001273617","Q8N9G2; Q08E71; Q8N9E9; A0A140VK02; Q6H8Q1; Q6NX73; E9PF39; Q6H8Q0; Q8N3C5; Q96JL7; Q19VH0"
"ABLIM3",22885,"1064244155; 7662330; 666335609; 1064244132; 1064244125; 530380444; 767937639; 666335558; 1064244127; 1370488693; 1370488696; 1370488698; 666335582; 1370488691; 666335564","XP_024301771; XP_024301773; NP_001332788; NP_001332790; XP_024301772; NP_001287957; XP_011535911; NP_001287956; XP_024301774; NP_001332787; NP_055760; NP_001287944; NP_001287947; NP_001332789; XP_005268451","O94929; Q19VH3; Q68CI5; Q9BV32; A0A0C4DGA7; Q658S1; A8K121"
"ABO",28,"58331216","NP_065202; ","Q9NY01; Q6KFZ2; Q70V27; A0A089QDC1; Q6ISD4; Q9UQ69; O14758; Q99484; Q99485; B0JDB9; P16442; Q9UQ68; Q14490; Q53I57"
"ABR",29,"767992033; 1034599385; 1018191642; 767992035; 1034599387; 1018191646; 1034599392; 767992029; 1034599400; 1018191644; 767992025; 767992031; 1034599402; 38679957; 229094128; 1034599395; 38679954; 378824464; 531034789","XP_016880031; NP_001153218; XP_011522112; XP_011522113; NP_001243776; NP_068781; XP_011522115; XP_016880028; NP_001269078; XP_011522116; XP_011522114; XP_016880030; XP_016880032; NP_001309769; NP_001309771; XP_011522117; XP_016880029; NP_001083; NP_001309770","Q12979; F5H8B3; Q6ZT60; B3KW89; B7Z6H7; F5H3S2; Q13693; Q13694; D3DTH4; D3DTH3; B7Z2X0; B7Z683; B7Z7Z1"
"ABRA",137735,"21040251; 1370511852","XP_024302831; NP_631905","Q8N0Z2"
"ABRACL",58527,"1034651150; 24308273","XP_016866640; NP_067066","Q9P1F3; Q5SZC8; Q9P0A1"
"ABRAXAS1",84142,"109148531; 530378285; 1066548916","XP_005263337; NP_001332891; NP_620775","Q9H8I1; Q9H9N4; D6REL5; Q6UWZ7; A5JJ07"
"ABRAXAS2",23172,"1034567411; 148529023; 767962277","XP_011537856; XP_016871475; NP_115558","Q15018; B4DKR2; Q96H11"
"ABT1",29777,"7019319","NP_037507","Q9ULW3; A0A024R029"
"ABTB1",80325,"1034635820; 1034635814; 14211841; 1370485291; 25777624; 767927724; 1034635818; 1370485293; 578807774; 1034635812","XP_016862774; XP_024309551; NP_742024; XP_006713832; XP_016862777; XP_024309550; XP_016862776; XP_016862775; XP_011511515; NP_115937","Q6ZNU9; Q71MF1; Q969K4; D3DNB0; Q96S62; Q96S63"
"ABTB2",25841,"300796386","NP_665803","Q52LD6; A8K6S9; Q8NB44; Q6MZW4; Q8N961; E9PRW7"
"ACAA1",30,"578806022; 194353979; 767923095; 578806024; 4501853","XP_006713185; NP_001598; XP_011531952; XP_006713186; NP_001123882","A0A024R2M6; P09110; G5E935; Q96CA6; A0A140VJX0"
"ACAA2",10449,"167614485","NP_006102","P42765; B3KNP8; Q9BUT6"
"ACACA",31,"767994502; 38679974; 38679977; 38679960; 38679967; 1034599443; 530412020; 1034599447; 38679971; 578830806; 767994506; 767994509; 1034599445","NP_942134; NP_942136; XP_011523003; XP_016880044; XP_011523006; XP_016880042; XP_005257324; XP_006721916; NP_942133; NP_942135; XP_011523005; XP_016880043; NP_942131","Q7Z564; B2ZZ90; Q13085; B2RP68; Q86WB3; Q7Z561; Q6KEV6; Q7Z2G8; Q7Z563; Q6XDA8; Q86WB2; Q7Z5W8; A0A024R0Y2"
"ACACB",32,"767974023; 767974036; 767974033; 578823648; 767974042; 1034579332; 134142062; 530401280","XP_005253933; XP_016874741; XP_011536565; XP_011536566; NP_001084; XP_006719430; XP_011536561; XP_011536567","O00763; Q16852; Q6KE89; A6NK36; Q6TY48; Q1HEC1; Q6KE87"
"ACAD10",80724,"48976061; 211971008; ","NP_001130010; NP_079523","Q6JQN1; Q8N828; G3XAJ0; Q8NAP2; Q96BX5"
"ACAD11",84129,"38505218","NP_115545; ","Q6ZND2; Q709F0; Q08AF0; Q658Y2; Q658N9; Q9H9R3; Q8WUT6"
"ACAD8",27034,"767969970; 1034573027; 1034573033; 1370459118; 1370459126; 1034573029; 1034573035; 1034573038; 1034573031; 7656849; 530397993; 1034573022; 1034573025","XP_024304206; XP_016873034; XP_016873035; XP_011541052; XP_016873037; XP_016873038; XP_016873031; XP_016873033; XP_005271562; XP_016873032; XP_024304205; NP_055199; XP_016873036","Q6ZWP6; Q9BUS8; Q9UKU7; B7Z5W4"
"ACAD9",28976,"1370483927; 21361497; 1370483929","XP_024309252; XP_024309253; NP_054768","Q9H845; D3DNB8; Q8WXX3"
"ACADL",33,"530370275; 1034613530; 4501857","XP_005246574; XP_016859444; NP_001599","P28330; Q8IUN8; B2R8T3"
"ACADM",34,"554506554; 4557231; 187960098; 554506556; 554506558","NP_001120800; NP_000007; NP_001272971; NP_001272972; NP_001272973","Q5HYG7; B7Z9I1; B4DJE7; P11310; Q5T4U5; Q9NYF1; A0A0S2Z366; Q5T4U4"
"ACADS",35,"700674279; 4557233","NP_000008; NP_001289483","B4DUH1; E5KSD5; P16219; P78331; E9PE82"
"ACADSB",36,"1054279084; 4501859","NP_001317103; NP_001600","B4DQ51; P45954; Q5SQN6; Q96CX7; A0A0S2Z3P9"
"ACADVL",37,"394025723; 76496475; 767992069; 4557235; 394025725; 767992073; 1370470867; 767992071","NP_001257377; XP_006721579; XP_011522131; NP_001257376; NP_001029031; XP_011522132; XP_024306509; NP_000009","B3KPA6; O76056; B4DEB6; Q8WUL0; P49748; F5H2A9"
"ACAN",176,"578826686; 256017259; 767983506; 767983504; 256017257; ","XP_006720482; NP_037359; XP_011519615; XP_011519616; NP_001126; ","E7ENV9; Q9UCP4; B9EK55; Q9UCD3; H0YMF1; Q9UDE0; Q9UCP5; E7EX88; Q13650; P16112; H0YM81"
"ACAP1",9744,"7661880; 1370472775; ","NP_055531; XP_024306815; ","Q15027; Q53XN9"
"ACAP2",23527,"767926175; 767926172; 578807206; 767926179; 187608516; 1034632227; 767926170; 1034632225; 1034632231; 767926177; 1034632233","NP_036419; XP_011510905; XP_011510908; XP_011510906; XP_016861537; XP_006713620; XP_016861536; XP_011510904; XP_016861538; XP_011510907; XP_016861535","A8K2V4; Q8N5Z8; Q9UQR3; Q15057"
"ACAP3",116983,"218563749; 767902183; 1034555275; 767902185; 767902187; 530360243; 1370451840; 767902181; 530360239","XP_011538908; XP_005244774; XP_011538911; XP_024308761; NP_085152; XP_011538910; XP_016855722; XP_005244772; XP_011538909","Q8WTZ1; Q9C0E7; B1AMF5; Q86UT3; Q96P50; Q9BSR9; Q5TA42; Q5TA43"
"ACAT1",38,"1034573518; 4557237; 578822178; 1034573513; 1370459367; 1370459371; 1370459373; 1034573516; 1370459369; 1370459375; ","NP_000010; XP_024304279; XP_024304280; XP_016873170; XP_016873172; XP_024304283; XP_006718898; XP_016873171; XP_024304281; XP_024304282; ","B2R6H1; A0A140VJX1; G3XAB4; P24752; Q96FG8"
"ACAT2",39,"148539872; 735997436","NP_001290182; NP_005882","B7Z233; E1P5B1; Q5TCL7; Q8TDM4; Q9BWD1; Q16146"
"ACBD3",64746,"15826852","NP_073572","Q8IZC5; Q6P9F1; A0A024R3P9; B2RB29; Q8N4D6; Q5VTJ0; Q9H3P7; Q9H6U3"
"ACBD4",79777,"578831409; 1034601298; 1034601304; 13376029; 1034601321; 1034601327; 1008909390; 767995925; 1034601325; 1370472218; 1370472222; 1034601294; 1034601302; 1034601315; 209364600; 1008909388; 767995929; 1034601300; 1034601306; 1034601311; 1034601313; 1034601319; 209364592; 209364594; 1034601296; 1034601330; 1034601309; 1034601317; 1034601323","XP_016880574; XP_016880579; XP_016880585; XP_016880589; XP_011523563; XP_016880580; XP_016880584; XP_024306717; XP_006722148; XP_016880575; XP_016880582; NP_001308281; XP_016880573; XP_016880586; XP_016880587; XP_024306718; NP_001129177; NP_001129178; XP_011523561; XP_016880577; XP_016880576; XP_016880578; XP_016880583; XP_016880590; NP_001129179; NP_001308282; NP_078998; XP_016880581; XP_016880588","Q8NC06; Q8IUT1; K7EM05; Q9H8Q4; D3DX64; A0A0S2Z5W7; A0A0S2Z5Y4; A0A0S2Z5Q0; B4DJP3"
"ACBD5",91452,"1034570245; 1034570256; 1207996488; 1034570223; 1034570225; 1034570241; 203098629; 1034570219; 1034570232; 1034570252; 1034570266; 407970996; 669173524; 1207996419; 1207996427; 1207996417; 1034570243; 1034570260; 669173520; 1207996500; 1207996454; 1207996496; 1034570258; 1207996482; 1034570221; 1034570227; 669173526; 669173522; 1207996394; 1207996458; 1034570234; 1034570248; 1207996536; 1207996442; 1207996534; 1207996413; 1207996444; 1207996523; 1034570229; 1034570264; 1370458125; 1370458128; 109689720; 1207996470; 1207996546; 1207996563; 1207996492; 1207996434","XP_016872378; XP_024304016; XP_024304017; XP_016872374; XP_016872382; XP_016872384; NP_001288181; NP_001288182; NP_001339500; NP_001339502; NP_001339508; NP_001339509; NP_001339511; XP_016872373; NP_001339497; NP_001339501; NP_001339507; XP_016872376; XP_016872383; XP_016872387; XP_016872393; NP_001288183; NP_001339515; NP_001339516; NP_001339517; XP_016872375; XP_016872379; XP_016872385; NP_001339506; NP_001339513; NP_001339514; NP_001035938; NP_001258441; XP_006717591; XP_016872377; XP_016872389; XP_016872390; XP_016872391; NP_001339498; NP_001339505; NP_001339510; NP_001339512; NP_663736; XP_016872394; NP_001288180; NP_001339499; NP_001339503; NP_001339504","B7Z9D0; D3DRW0; Q5T8E2; Q8NCM9; Q5T8D3; B3KQ56; Q5T8D4; Q9UFB5; Q5T8E1; Q86UV1; B7Z2R7; B7Z2A7; Q8N6E3"
"ACBD6",84320,"14150169; ","NP_115736; ","Q9BR61; B2RAA8; A0A024R915"
"ACBD7",414149,"89886362","NP_001034933","Q8N6N7; A6NCI2; B3KTG8"
"ACCS",84680,"767966657; 187936925; 1034575838; 1370460399; 1370460395; 1370460397; 1370460401; 578820869; 767966659; 767966663; 767966671; 530395881; 14211921; 1370460404; ","XP_011518708; NP_115981; XP_006718411; XP_024304488; XP_024304491; XP_011518712; XP_016873910; XP_024304486; XP_024304489; NP_001120691; XP_005253229; XP_005253227; XP_011518709; XP_024304487; ","Q8WUL4; B4E219; Q96QU6; Q96LX5; A0A0S2Z622"
"ACCSL",390110,"1034573591; 149944424; 1387629629","XP_016873204; NP_001350042; NP_001027025","Q3C1W0; Q4AC99"
"ACD",65057,"1407503537; 1407503539; 530424248; 130979214","NP_001075955; NP_001075956; NP_075065; XP_005256172","Q96AP0; Q9H8F9; Q562H5"
"ACE",1636,"767993875; 4503273; 295844837; 23238214","NP_000780; NP_001171528; XP_006721800; NP_690043","B4DKH4; B4DXI3; E7EU16; P22966; Q7M4L4; B0LPF0; Q53YX9; Q59GY8; P12821"
"ACE2",59272,"768032614; 768032603; 768032610; 11225609; ","XP_011543854; NP_068576; XP_011543853; XP_011543851; ","Q6UWP0; Q9BYF1; Q9UFZ6; Q86WT0; C7ECU1; Q9NRA7"
"ACER1",125981,"19424128; 768000778","NP_597999; XP_011525975","Q8TDN7"
"ACER2",340485,"767954840; 530389873; 1034665155; 767954842; 71043498","XP_011516161; XP_016870183; NP_001010887; XP_011516160; XP_005251505","Q5QJU3; Q5VZR7; A2A3R8; Q71RD2; B3KVV5; Q569G5"
"ACER3",55331,"767968476; 170932467; 1034574445; 767968479; 767968485; 665821239; 665821215; 1034574449; 665821252","XP_011543453; XP_011543455; NP_001287882; NP_001287884; XP_016873476; NP_060837; XP_016873477; NP_001287883; XP_011543454","Q9NUN7; B7Z2Q2; B7Z2V2; B2RC99"
"ACHE",43,"1370510209; 705044464; 1370510207; 705044511; 767947843; 1545820603; 767947845; 1034655664; 4557239; 1370510205; 540344531; 1545820621; 1545820652; 578814270; 1545820623; 767947850; 767947852; 1034655662","XP_006716058; XP_024302536; NP_001289550; XP_011514531; XP_016867709; NP_001269378; XP_011514530; XP_024302537; XP_016867708; NP_001354846; XP_011514527; NP_001289551; NP_001354847; XP_011514528; XP_024302538; NP_000656; NP_001354844; NP_001354848","Q2M324; Q504V3; Q9BXP7; B7ZKZ0; Q86YX9; A4D2E2; Q53F46; P22303; D6W5X7; Q16169; Q29S23; Q86TM9"
"ACIN1",22985,"259906018; 530403270; 530403277; 1370464696; 7662238; 578825607; 767980047; 259906020; 259906024; 530403268; 259906022","NP_001158288; XP_006720144; NP_055792; XP_024305280; XP_005267473; XP_011534872; NP_001158286; NP_001158289; XP_005267472; XP_005267475; NP_001158287","Q9UKV3; B2RTT4; Q9UKV2; O75158; B4DQZ7; Q9UKV1; Q9UG91; D3DS45"
"ACKR1",2532,"171846251; 42822887","NP_002027; NP_001116423","Q16300; Q9UJP0; Q9UKZ5; Q9UKZ6; Q5Y7A2; A8YPG5; Q8WWE3; Q9UQE1; Q16570; O75898; Q5Y7A1"
"ACKR2",1238,"13929467","NP_001287","Q96A02; O00537; Q53YA1; Q86UN9; O00590; A0A024R2X7; B2R8Y8"
"ACKR3",57007,"530371431; 1034615302; 530371433; 31083344","XP_005246155; NP_064707; XP_005246154; XP_016860005","P25106; Q92938; Q53RV4; Q8NE10; Q92986; A8K6J4"
"ACKR4",51554,"30795217; 7706769","NP_848540; NP_057641","B2R9U7; Q9NPB9"
"ACLY",47,"38569421; 740086852; 38569423; 530412286; 1034599878; 740086846","XP_005257452; NP_001087; XP_016880177; NP_001290204; NP_001290203; NP_942127","Q13037; Q9BRL0; A0A024R1Y2; Q4LE36; A0A024R1T9; B4DIM0; B4E3P0; P53396"
"ACMSD",130013,"530369028; 1034611523; 1370476688; 530369034; 1034611525; 808175905; 530369036; 109715856; 1370476686; 530369032; 767916624","XP_005263647; NP_612199; XP_005263643; XP_011508894; XP_005263646; XP_024308458; XP_005263645; XP_016858815; XP_024308459; NP_001294912; XP_016858814","Q6ZV40; Q8TDX5; Q53SR5; A0A0S2Z681; Q3B7X3; Q96KY2"
"ACO1",48,"8659555; 767954917; 1384865994; 530389933; 507834063","NP_002188; XP_005251533; NP_001349769; XP_011516190; NP_001265281","Q9HBB2; P21399; D3DRK7; V9HWB7; Q5VZA7; Q14652"
"ACO2",50,"1034629020; 1370482326; 4501867","XP_024308018; XP_016884301; NP_001089","Q99798; Q5JZ41; O75809; Q6FHX0; Q8TAQ6"
"ACOD1",730249,"385719224","NP_001245335","A6NK06"
"ACOT1",641371,"81230485; 1034587951; 1034587953; 1034587949; 1034587955","NP_001032238; XP_016877078; XP_016877079; XP_016877080; XP_016877081","Q86TX2; E9KL42; Q3I5F9; A1L173"
"ACOT11",26027,"22165355; 22165400","NP_056362; NP_671517","D3DQ50; B1AQ22; Q53ER9; Q8WXI4; Q96DI1; O75187; Q9H883; Q52LP1"
"ACOT12",134526,"578810134; 1034643626; 1034643619; 1034643623; 578810132; 1034643621; 1370488474; 18640736","XP_006714595; XP_016864534; XP_024310134; NP_570123; XP_016864535; XP_016864536; XP_016864537; XP_006714594","Q8WYK0; B3KVK9; Q5FWE9"
"ACOT13",55856,"8923812; 231567183","NP_060943; NP_001153566","O95549; Q9NPJ3; F5H2L4"
"ACOT2",10965,"578825424; 1034586013; 1398331575; 1398331565; 148727286; ","NP_001351106; NP_006812; XP_016876426; XP_006720070; NP_001351107","P49753; Q3I5F8; Q53EK4; Q9NUX4; B3KSA0"
"ACOT4",122970,"187761341; ","NP_689544; ","Q8N9L9; Q17RF4; Q86TX0; Q5BKT6; Q86TX1; Q96N88"
"ACOT6",641372,"1475409312; 767981306; 1475409326; 81230487","NP_001352717; XP_011535378; NP_001352718; NP_001032239","Q3I5F7"
"ACOT7",11332,"32528284; 32528286; 75709208; 32528282","NP_863654; NP_863655; NP_009205; NP_863656","Q5JYL5; O00154; A8K6B8; Q5JYL4; Q5JYL6; Q9UJM9; A8K232; O43703; Q9Y539; A8K837; Q53Y78; Q5TGR4; B3KQ12; Q5JYL2; Q5JYL3; A8K0K7; Q9Y540"
"ACOT8",10005,"530417750; 768015538; 34577075","XP_005260296; XP_011526782; NP_005460","O15261; Q17RX4; O14734"
"ACOT9",23597,"81295407; 1057503270; 81295404","NP_001317188; NP_001028755; NP_001032248","Q9Y305; B3KNC9; B7ZM94"
"ACOX1",51,"30089974; 30089972; 767994930; 767994932; 297206874","NP_004026; XP_011523170; NP_009223; XP_011523171; NP_001171968","A8KAA0; Q15068; F5GYQ8; A8K6X8; B4DK61; Q15067; Q9UD31; Q15101; Q16131; Q12863; Q7Z3W5"
"ACOX2",8309,"1370485328; 530373232; 578806607; 4501869; 1034635881","XP_024309554; XP_006713403; XP_016862791; XP_005265562; NP_003491","A6NF16; B2R8U5; Q99424"
"ACOX3",8310,"156104866; 530376159; 767929381; 1370487651; 767929386; 156104864; 530376163","XP_005248070; XP_011511867; XP_011511868; XP_024310005; NP_003492; NP_001095137; XP_005248068; ","Q96AJ8; O15254"
"ACOXL",55289,"767918692; 1034615015; 767918684; 767918713; 1034615020; 767918682; 767918715; 767918719; 767918707; 767918721; 767918731; 767918740; 767918697; 767918701; 767918729; 1034615013; 218563752; 767918733; 767918744; 1034615017; 767918703; 767918717; 767918686; 767918688; 767918705; 1467671835","XP_011509731; XP_011509736; XP_016859921; XP_016859923; NP_001136279; XP_011509708; XP_011509709; XP_011509717; XP_011509723; XP_011509706; XP_011509707; XP_011509711; XP_011509713; XP_011509715; XP_011509722; XP_011509725; XP_016859920; XP_011509716; XP_011509721; XP_011509729; XP_016859922; XP_011509718; XP_011509724; XP_011509730; XP_011509734; NP_001352416","B7WPB3; B7WPP7; E9PB20; Q53SC6; Q8TCE7; Q53R27; Q53R31; Q9NUZ1; A2RRB7; B4DU63"
